happylife,obama,democratic,republican,supremecourt,africandisc,hispanicdisc,discgaylesbian ,discwomen,discmuslimam,finances,gaymarriage,gayadaptchild,howoftenvote,party,ideology,gender,maritalstatus,martialstatusr,sexualorientation,transgender,lgbtstatus,agelgbtdoubt,agelgbtsure,friendlgbt,toldmomlgbt,difficultmom,aftertoldmom,tolddadlgbt,difficultdad,aftertolddad,toldfriendlgbt,agecategory,agecategoryr,education,educationr,ethnicity,householdhead,householdsize,residence,income2012,religion,religionimportance,christian,lgbtproblems,lgbtsocialacceptance,lgbtacceptancetenyearsago,lgbttenyearsfromnow,lgbtdemocrat,lgbtrepublican,lgbtobama,lgbtentertainment,lgbtmedia,lgbtprofsport,lgbtmilitrary,\lgbtfriendly,lgbtfriendlyp,lgbtacceptone,lgbtaccepttwo,lgbtacceptthree,lgbtacceptfour,lgbtacceptfive,lgbtacceptsix,lgbtaccepttotal,lgbtacceptp,gaysocaccept,lesbiansocaccept,bimensocaccept,biwomensocaccept,transgendersocacc,lgbtsocaccepttotal,lgbtsocacceptp,lgbtfriendly1,lgbtfriendly2,lgbtfriendly2,lgbtfriendly4,lgbtfriendly5,lgbtfriendly6,lgbtfriendlytotal,lgbtfriendlytotalp,religeousconflict,religeousconflictlevel,lgbtaccepttown,livelgbtneighborhood,closefriendlgbt,lgbtpolicy1,lgbtpolicy2,lgbtpolicy3,lgbtpolicy4,lgbtpolicy5,lgbtpolicy6,lgbtpolicy7,lgbtpolicytotal,lgbtpolicyp,physicalattack,slursjokes,poorservice,churchunwelcome,unfairemployment,rejectfamily,lgbtdiscrimination,lgbtdiscriminationp,lgbtsuppoort1,lgbtsupport2,lgbtsupport3,lgbtsupport4,lgbtsupport5,lgbtsupport6,lgbtsupporttotal,lgbtsupportp,lgbtsocialnetwork,reveallgbtsocialnetwork,liketomarry,relationtype,legalcivilunion,childguardian,havechildunder18,spousechildrenunder18,childinyourhome,liketohavechild,employment,workplaceacceptance,workplaceknoworientation,Usborn,minorinhousehold
happy,mostly unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, a lot, some, a lot,poor,strongly oppose,strongly oppose,always,democrat,very liberal,female,never married,alone,bisexual,no,mostly females,17,19,21,yes,yes,stronger,yes,yes,grew stronger,yes,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,white,no,4,NA,NA,NA,very important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, some, some, a lot,good,strongly oppose,strongly oppose,always,democrat,very liberal,male,never married,alone,gay,no,males,8,19,20,yes,yes,weaker,yes,no,no change,yes,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,white,yes,1,own,hundred to hundred fifty,other,not at all mportant,NA,sterotyping,only a little,none at all,none at all,3,1,3,3,3,1,2,16,64,3,3,3,3,3,2,17,92,3,3,3,3,2,14,90,1,1,2,1,1,3,9,25,no,NA,a lot,yes,some,2,1,2,2,2,2,2,13,29,1,2,1,1,1,2,8,17,2,2,2,2,2,2,12,50,not regularly,no,not sure,NA,NA,no,NA,NA,NA,no,full time,very accepting,most or all,yes,no
not too happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, a lot, a lot, a lot, a lot, a lot,only fair,strongly oppose,strongly oppose,always,democrat,very liberal,female,widowed,alone,lesbian,no,females,7,16,23,yes,yes,stronger,yes,yes,grew stronger,yes,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,white,yes,1,own,fifty to seventy five,nothing,not at all mportant,no,sterotyping,only a little,only a little,none at all,3,1,3,3,1,1,1,13,43,3,3,3,3,3,2,17,92,3,3,3,3,3,15,100,1,1,2,1,1,2,8,17,no,NA,a lot,no,all or most,1,1,1,1,1,1,1,7,0,1,2,2,2,1,2,10,33,2,2,3,3,3,2,15,75,not regularly,yes,not sure,NA,NA,no,NA,NA,NA,no,full time,very accepting,most or all,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, a lot, a lot, a lot,good,strongly oppose,strongly oppose,always,independent,moderate,female,living with partner,living with partner,lesbian,no,females,12,18,18,yes,no,no change,yes,no,no change,yes,fifty five to sixty four,fifty five to sixty four,bachelor or higher,bachelor or higher,white,yes,2,own,hundred to hundred fifty,nothing,not at all mportant,yes,discrimination,NA,only a little,only a little,3,1,2,3,2,1,1,13,43,3,3,3,2,3,2,16,83,2,3,1,3,1,10,50,1,1,2,1,1,1,7,8,no,NA,a little,no,some,1,2,2,2,2,2,2,13,29,1,2,2,1,1,2,9,25,2,2,2,2,2,2,12,50,not regularly,no,yes,NA,no,no,NA,no,NA,no,full time,somewhat accepting,most or all,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, a lot, a lot, some, a lot,good,strongly oppose,strongly oppose,always,democrat,very liberal,male,living with partner,living with partner,gay,no,males,10,18,NA,no,NA,NA,no,NA,NA,yes,fifty five to sixty four,fifty five to sixty four,bachelor or higher,bachelor or higher,white,yes,2,own,seventy five to hundred,protestant,somewhat important,NA,discrimination,only a little,only a little,none at all,3,1,3,3,3,2,2,17,71,3,2,3,3,2,2,15,75,3,3,3,3,2,14,90,1,1,2,1,1,2,8,17,no,NA,some,yes,all or most,1,2,1,1,1,1,2,9,10,2,2,1,1,2,2,10,33,2,2,3,2,3,1,13,58,not regularly,yes,not sure,NA,no,no,NA,no,NA,NA,retired,NA,NA,yes,no
happy,very unfavorable,very unfavorable,very unfavorable,mostly unfavorable, some, some, a lot, some, a lot,good,oppose,strongly oppose,nearly always,independent,moderate,female,never married,alone,bisexual,no,mostly females,17,22,22,yes,yes,no change,yes,yes,grew weaker,yes,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,white,yes,2,own,less than twenty,protestant,somewhat important,NA,sterotyping,only a little,none at all,none at all,2,1,2,3,3,1,1,13,43,3,2,3,2,3,1,14,67,2,2,1,3,1,9,40,1,1,1,1,1,1,6,0,yes,a lot,some,no,a few,1,2,1,1,2,1,1,9,10,1,1,1,1,1,3,8,17,1,1,1,1,1,1,6,0,not regularly,no,yes,NA,NA,no,NA,NA,NA,not sure,full time,not so  accepting,none,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, a lot, a lot, some, a lot,only fair,strongly oppose,strongly oppose,seldom,NA,liberal,female,living with partner,living with partner,bisexual,no,mostly males,21,24,26,no,NA,NA,no,NA,NA,no,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,white,yes,2,own,fifty to seventy five,agnostic,not at all mportant,NA,sterotyping,only a little,none at all,none at all,3,1,3,2,2,1,1,13,43,3,3,3,2,3,2,16,83,3,2,1,1,1,8,30,2,1,1,1,NA,2,NA,NA,no,NA,some,no,none,1,1,1,2,2,2,2,11,19,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,no,yes,NA,no,no,NA,no,NA,yes,full time,not so  accepting,none,yes,no
happy,mostly unfavorable,very unfavorable,very unfavorable,very unfavorable, some, some, some, some, a lot,only fair,strongly oppose,strongly oppose,always,independent,very liberal,female,married,married,bisexual,no,mostly males,10,14,16,no,NA,NA,no,NA,NA,yes,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,white,yes,4,own,twenty to thirty,agnostic,not at all mportant,NA,self esteem,only a little,none at all,none at all,2,1,2,2,1,1,1,10,21,3,2,2,2,3,2,14,67,3,3,2,1,2,11,60,1,1,2,1,1,2,8,17,no,NA,some,no,a few,2,1,2,2,2,2,2,13,29,1,2,1,2,1,2,9,25,2,2,3,2,2,1,12,50,not regularly,no,NA,legally married,NA,yes,yes,NA,yes,NA,part time,very accepting,none,yes,yes
happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, a lot, some, a lot,good,strongly oppose,strongly oppose,always,republican,liberal,male,living with partner,living with partner,gay,no,males,12,18,16,no,NA,NA,yes,no,no change,yes,seventy five plus,sixty five plus,bachelor or higher,bachelor or higher,white,yes,2,own,seventy five to hundred,nothing,not at all mportant,no,discrimination,only a little,none at all,none at all,3,1,3,2,2,1,2,14,50,3,3,3,3,3,3,18,100,3,3,3,3,2,14,90,1,1,2,1,1,3,9,25,yes,a lot,some,no,some,1,1,1,2,1,2,1,9,10,1,2,1,3,2,1,10,33,1,3,3,2,2,3,14,67,not regularly,NA,yes,NA,yes,no,NA,no,NA,NA,retired,NA,NA,yes,no
not too happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, a lot, some, some,only fair,strongly oppose,strongly oppose,always,democrat,liberal,female,never married,alone,lesbian,no,females,7,16,18,yes,yes,stronger,yes,yes,grew stronger,yes,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,white,yes,1,own,forty to fifty,nothing,not at all mportant,no,legal rights,only a little,only a little,none at all,3,1,3,3,3,1,2,16,64,3,3,3,3,3,3,18,100,3,3,3,3,2,14,90,1,1,2,1,2,3,10,33,no,NA,a lot,no,some,1,1,1,1,1,1,1,7,0,2,3,2,2,1,2,12,50,3,3,3,3,3,1,16,83,regularly,yes,yes,NA,NA,no,NA,NA,NA,yes,full time,very accepting,most or all,yes,no
